id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-06-22 20:54:35,"{""short_code"":""WqxP6K"",""original_url"":""https://seeded.app/gold/meadow/1""}"
2,2,271,created,2025-08-26 10:35:26,"{""short_code"":""cCZohi"",""original_url"":""https://example.com/keen/meadow/2""}"
3,3,20,created,2025-02-14 02:03:51,"{""short_code"":""M2buKp"",""original_url"":""https://example.com/clear/beacon/3""}"
4,4,77,created,2025-12-11 14:48:53,"{""short_code"":""pJoLPT"",""original_url"":""https://relay.cloud/quiet/valley/4""}"
5,5,349,created,2025-04-13 00:59:17,"{""short_code"":""A5LkOa"",""original_url"":""https://hackstack.io/brisk/engine/5""}"
6,6,344,created,2026-01-24 17:19:58,"{""short_code"":""Uhcw5t"",""original_url"":""https://acme.dev/clear/journey/6""}"
7,7,148,created,2026-02-17 02:26:05,"{""short_code"":""XXSbYN"",""original_url"":""https://hackstack.io/vivid/river/7""}"
8,8,88,created,2025-12-17 22:13:30,"{""short_code"":""UBBaiV"",""original_url"":""https://relay.cloud/harbor/uplink/8""}"
9,9,196,created,2025-09-07 15:54:11,"{""short_code"":""kcCanu"",""original_url"":""https://acme.dev/harbor/kernel/9""}"
10,10,151,created,2026-02-09 20:31:13,"{""short_code"":""XeoXnr"",""original_url"":""https://seeded.app/young/yard/10""}"
11,11,27,created,2025-09-16 05:01:37,"{""short_code"":""NvOScb"",""original_url"":""https://example.com/cobalt/river/11""}"
12,12,327,created,2025-01-16 10:27:12,"{""short_code"":""D4qzVS"",""original_url"":""https://relay.cloud/opal/valley/12""}"
13,13,113,created,2026-01-12 00:27:13,"{""short_code"":""QdepDm"",""original_url"":""https://seeded.app/navy/zenith/13""}"
14,14,99,created,2025-01-26 21:02:07,"{""short_code"":""CzTXTh"",""original_url"":""https://seeded.app/keen/delta/14""}"
15,15,198,created,2025-07-24 13:28:00,"{""short_code"":""Mqo4x5"",""original_url"":""https://seeded.app/vivid/lagoon/15""}"
16,16,223,created,2025-03-06 21:57:38,"{""short_code"":""1nnEoS"",""original_url"":""https://hackstack.io/jade/anchor/16""}"
17,17,347,created,2025-09-22 19:56:52,"{""short_code"":""g3VGRu"",""original_url"":""https://acme.dev/mellow/harvest/17""}"
18,18,245,created,2026-01-12 20:07:45,"{""short_code"":""lGOyGB"",""original_url"":""https://seeded.app/calm/valley/18""}"
19,19,7,created,2025-02-22 11:55:41,"{""short_code"":""VkTidp"",""original_url"":""https://hackstack.io/lively/field/19""}"
20,20,58,created,2025-04-02 16:25:17,"{""short_code"":""6B2oEp"",""original_url"":""https://relay.cloud/brisk/canyon/20""}"
21,21,389,created,2025-06-01 23:54:08,"{""short_code"":""06RFjj"",""original_url"":""https://example.com/tidy/journey/21""}"
22,22,315,created,2025-11-16 04:50:08,"{""short_code"":""pCbd3G"",""original_url"":""https://seeded.app/harbor/island/22""}"
23,23,222,created,2025-04-18 23:32:07,"{""short_code"":""Z4qeLH"",""original_url"":""https://example.com/cobalt/network/23""}"
24,24,156,created,2025-12-05 20:41:35,"{""short_code"":""368UuA"",""original_url"":""https://seeded.app/amber/island/24""}"
25,25,261,created,2025-12-17 05:48:02,"{""short_code"":""wofMep"",""original_url"":""https://seeded.app/amber/harvest/25""}"
26,26,256,created,2025-05-24 20:20:13,"{""short_code"":""z9uujv"",""original_url"":""https://seeded.app/quiet/harvest/26""}"
27,27,257,created,2025-08-06 06:04:20,"{""short_code"":""YfpZUi"",""original_url"":""https://relay.cloud/dawn/delta/27""}"
28,28,251,created,2025-07-25 20:20:56,"{""short_code"":""wAOA7m"",""original_url"":""https://hackstack.io/amber/pioneer/28""}"
29,29,331,created,2025-11-18 03:10:51,"{""short_code"":""JsTep5"",""original_url"":""https://opswise.net/lively/canyon/29""}"
30,30,395,created,2025-11-05 19:47:19,"{""short_code"":""C5XEOW"",""original_url"":""https://hackstack.io/forest/pioneer/30""}"
31,31,109,created,2026-01-06 13:43:14,"{""short_code"":""KWfR55"",""original_url"":""https://acme.dev/harbor/canyon/31""}"
32,32,28,created,2025-09-12 07:47:44,"{""short_code"":""4b5Hx3"",""original_url"":""https://example.com/tidy/meadow/32""}"
33,33,92,created,2025-01-11 07:18:56,"{""short_code"":""Ji6Io3"",""original_url"":""https://example.com/lively/trail/33""}"
34,34,64,created,2025-12-09 12:32:12,"{""short_code"":""wjFWUY"",""original_url"":""https://seeded.app/jade/beacon/34""}"
35,35,398,created,2026-01-01 08:19:17,"{""short_code"":""3zVDZY"",""original_url"":""https://seeded.app/mellow/quartz/35""}"
36,36,65,created,2025-11-08 17:00:39,"{""short_code"":""aQ9Lzt"",""original_url"":""https://relay.cloud/keen/kernel/36""}"
37,37,59,created,2025-09-03 08:09:26,"{""short_code"":""KZY6Z6"",""original_url"":""https://hackstack.io/silver/uplink/37""}"
38,38,318,created,2025-10-16 18:58:46,"{""short_code"":""smcBFZ"",""original_url"":""https://relay.cloud/rapid/trail/38""}"
39,39,354,created,2025-07-10 08:54:00,"{""short_code"":""Edvw7G"",""original_url"":""https://seeded.app/calm/field/39""}"
40,40,300,created,2025-04-10 18:32:09,"{""short_code"":""vG40mK"",""original_url"":""https://example.com/mellow/delta/40""}"
41,41,353,created,2026-01-25 06:36:55,"{""short_code"":""9D2Qtl"",""original_url"":""https://example.com/brisk/uplink/41""}"
42,42,321,created,2025-10-05 18:05:40,"{""short_code"":""Od0llH"",""original_url"":""https://acme.dev/lively/river/42""}"
43,43,127,created,2026-02-06 00:59:25,"{""short_code"":""pf7lEx"",""original_url"":""https://hackstack.io/brisk/uplink/43""}"
44,44,83,created,2025-04-30 16:03:02,"{""short_code"":""IUHcL8"",""original_url"":""https://opswise.net/gold/garden/44""}"
45,45,330,created,2025-08-30 06:41:04,"{""short_code"":""n7YiWt"",""original_url"":""https://acme.dev/jade/field/45""}"
46,46,90,created,2025-10-29 04:21:40,"{""short_code"":""Sg3BOF"",""original_url"":""https://opswise.net/dawn/uplink/46""}"
47,47,81,created,2026-01-31 09:30:04,"{""short_code"":""dBdjmu"",""original_url"":""https://acme.dev/vivid/island/47""}"
48,48,371,created,2025-07-21 22:59:07,"{""short_code"":""dCgTTx"",""original_url"":""https://seeded.app/tidy/beacon/48""}"
49,49,209,created,2025-11-14 18:22:27,"{""short_code"":""3WIZNT"",""original_url"":""https://acme.dev/young/quartz/49""}"
50,50,328,created,2025-11-26 06:34:29,"{""short_code"":""ZnWLXs"",""original_url"":""https://hackstack.io/silver/beacon/50""}"
51,51,327,created,2026-02-08 02:28:47,"{""short_code"":""12V4xn"",""original_url"":""https://opswise.net/urban/orbit/51""}"
52,52,297,created,2025-04-10 21:25:20,"{""short_code"":""OaC2oz"",""original_url"":""https://hackstack.io/gold/signal/52""}"
53,53,122,created,2025-03-22 12:44:48,"{""short_code"":""yOzJvb"",""original_url"":""https://seeded.app/navy/kernel/53""}"
